layer	head	precision	recall	f1	aupr	predicted_edges	true_edges	candidate_pairs	candidate_positives	candidate_positive_rate	evaluated_pairs	aupr_bootstrap_mean	aupr_bootstrap_std	aupr_bootstrap_ci_low	aupr_bootstrap_ci_high	bootstrap_mean_rank	bootstrap_top_k_freq
7	4	0.0	0.0	0.0	0.004000648782435728	550	32	13189	30	0.002274622791720373	13189	0.004377922570544413	0.0013013923062394832	0.0024952812356141578	0.00733370271170005	77.96	0.0
7	5	0.005454545454545455	0.09375	0.010309278350515464	0.005078741825081847	550	32	13189	30	0.002274622791720373	13189	0.00547883140875845	0.0017986651904914497	0.0027887031392638587	0.009347864277802608	27.86	0.0
7	6	0.0018181818181818182	0.03125	0.0034364261168384883	0.0041633314897620965	550	32	13189	30	0.002274622791720373	13189	0.004595853760218531	0.0013666875242709059	0.0026817429894972302	0.0076066079143847455	66.88	0.0
7	7	0.012727272727272728	0.21875	0.024054982817869417	0.008267575313612722	550	32	13189	30	0.002274622791720373	13189	0.009463297305092037	0.004541069578154164	0.003513940286132361	0.019968038121987355	4.0	0.94
8	0	0.0018181818181818182	0.03125	0.0034364261168384883	0.004127543450276485	550	32	13189	30	0.002274622791720373	13189	0.004488285736008898	0.0013379602275298164	0.0025905383831014844	0.007437840728621437	72.08	0.0
8	1	0.01090909090909091	0.1875	0.020618556701030927	0.006816503459867301	550	32	13189	30	0.002274622791720373	13189	0.007171749161762064	0.002655438475388779	0.003637122216351287	0.012173090532547445	9.42	0.7
8	2	0.007272727272727273	0.125	0.013745704467353953	0.005506223117613703	550	32	13189	30	0.002274622791720373	13189	0.005926948844108802	0.002118992650562332	0.00287250089593092	0.011202102635539356	21.92	0.26
8	3	0.0	0.0	0.0	0.00401207534192469	550	32	13189	30	0.002274622791720373	13189	0.004390833701494929	0.0012733536808894102	0.0025608767938758844	0.007364840491228151	77.32	0.0
8	4	0.0018181818181818182	0.03125	0.0034364261168384883	0.004169634717531101	550	32	13189	30	0.002274622791720373	13189	0.004564466957814849	0.0013983078377026623	0.0026595283970012014	0.007762575366667847	68.36	0.0
8	5	0.0018181818181818182	0.03125	0.0034364261168384883	0.00438742864105839	550	32	13189	30	0.002274622791720373	13189	0.004762873526223014	0.0014829858677625515	0.002671183535369135	0.0082639896631088	56.68	0.0
8	6	0.0018181818181818182	0.03125	0.0034364261168384883	0.004349108792359723	550	32	13189	30	0.002274622791720373	13189	0.004861807260684139	0.00152617396775751	0.002603292345829545	0.00819045741165316	54.98	0.0
8	7	0.0036363636363636364	0.0625	0.006872852233676977	0.004198524033584554	550	32	13189	30	0.002274622791720373	13189	0.0046282936930506675	0.00139278087133434	0.0026673741128275864	0.007365434877498204	64.0	0.0
9	0	0.0	0.0	0.0	0.004198382756025007	550	32	13189	30	0.002274622791720373	13189	0.00462992959174834	0.001396621062318814	0.0026324345150326263	0.007681729095109547	65.3	0.0
9	1	0.00909090909090909	0.15625	0.01718213058419244	0.005183263556646343	550	32	13189	30	0.002274622791720373	13189	0.005554697343028502	0.001761265467142411	0.002825628761987644	0.009011474663956173	26.56	0.08
9	2	0.007272727272727273	0.125	0.013745704467353953	0.004569630325972051	550	32	13189	30	0.002274622791720373	13189	0.00493015012751408	0.0015135365010172524	0.0026981226539711544	0.008017620104934215	48.24	0.02
9	3	0.00909090909090909	0.15625	0.01718213058419244	0.005019413322535209	550	32	13189	30	0.002274622791720373	13189	0.005389352454455349	0.0018867095294784395	0.0026539893047565115	0.009690404938748256	35.2	0.06
9	4	0.0018181818181818182	0.03125	0.0034364261168384883	0.004360423205729102	550	32	13189	30	0.002274622791720373	13189	0.0047773790333252904	0.0014598326142425124	0.002748569639161104	0.007947023129189653	55.48	0.0
9	5	0.005454545454545455	0.09375	0.010309278350515464	0.00447346975522436	550	32	13189	30	0.002274622791720373	13189	0.0048263856077922045	0.0014781797773550692	0.002724890567919917	0.00823811514660005	53.24	0.0
9	6	0.005454545454545455	0.09375	0.010309278350515464	0.005643840462006808	550	32	13189	30	0.002274622791720373	13189	0.005984048238993879	0.0019894203763052704	0.003359702771122167	0.01041292360071933	16.74	0.08
9	7	0.0	0.0	0.0	0.004515067110028031	550	32	13189	30	0.002274622791720373	13189	0.004895754301643918	0.0014841701194701633	0.0028006309146195022	0.007835426924481638	48.86	0.0
