quantile	quantile_label	edge_score_threshold	layer	head	head_id	n_edges_nonzero	high_conf_edges	high_conf_fraction	odds_ratio_high_vs_rest	p_value_high_enriched	q_value_high_enriched	significant_q_lt_0_10
0.95	top05%	0.049063231595433555	0	6	0:6	79	3	0.0379746835443038	0.7335953520164047	0.7742013535849225	1.0	False
0.95	top05%	0.049063231595433555	4	3	4:3	27	1	0.037037037037037035	0.7210321324245375	0.7554753266246069	1.0	False
0.95	top05%	0.049063231595433555	10	0	10:0	117	1	0.008547008547008548	0.15178961152335224	0.9981468207511918	1.0	False
0.95	top05%	0.049063231595433555	0	1	0:1	59	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	0	4	0:4	44	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	1	0	1:0	31	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	1	7	1:7	10	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	2	0	2:0	23	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	2	6	2:6	13	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	2	7	2:7	18	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	6	4	6:4	10	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	6	6	6:6	11	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	8	2	8:2	13	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	8	4	8:4	19	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	8	5	8:5	10	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	9	6	9:6	15	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	10	5	10:5	23	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	10	6	10:6	13	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	11	0	11:0	12	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	11	3	11:3	17	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.049063231595433555	11	4	11:4	10	0	0.0	0.0	1.0	1.0	False
