source	target	score
TAL1	ADCYAP1	0.025556012988090515
NCOA4	IGHA1	0.025543000639938727
SOX6	YPEL3	0.025540011269705638
LYL1	ALPL	0.02553609013557434
NCOA4	MTND6P3	0.02550072968006134
PBX1	TMEM242-DT	0.025485612452030182
NFIX	IGHG1	0.025474751368165016
LYL1	S100A8	0.025408051230690697
ANKRD1	HBA2	0.025397634133696556
NEUROD1	IGLV1-44	0.02533268742263317
SOX6	IGHA1	0.025331871850149974
FOXA1	FKBP8	0.025315476581454277
SOX6	IGHV4-59	0.025303350761532784
TAL1	IGHG4	0.025279207155108452
LYL1	ADCYAP1	0.02527713030576706
NFE2	NATD1	0.025260938331484795
FOXA1	FAM210B	0.02525400184094906
TAL1	RP3-466P17.2	0.025224575772881508
NFE2	PADI4	0.025211100578308106
HOXD1	SELENOP	0.025176897644996643
SOX6	R3HDM4	0.02517140182581815
TAL1	USH2A	0.02505801059305668
NFE2	AQP9	0.02496861900602068
NEUROD1	CFHR2	0.0249670147895813
LYL1	MZB1	0.024953866998354595
NFIX	DEFA4	0.024932822212576866
E2F2	JCHAIN	0.024842764437198638
GATA1	RP3-466P17.2	0.024803631007671356
NFE2	TCP11L2	0.024776739232680377
HOXD1	RP11-1260E13.1	0.02477184496819973
LYL1	LCN1	0.02476823516190052
LYL1	LYZ	0.02476200887135097
NKX2-5	IL7R	0.024757010862231255
PBX1	CXCL1	0.024711087346076965
TAL1	PBX1	0.024696511526902516
SOX6	VCAN	0.0246910210698843
PBX1	APOE	0.024690993130207062
TAL1	LYZ	0.024682635441422462
LYL1	ATP6V0C	0.024646610021591187
LYL1	CCL4	0.024573585018515587
SOX6	BASP1	0.024570278146050194
NFIX	DEFA1	0.024513008072972298
NFE2	KDM7A-DT	0.02448474057018757
