quantile	quantile_label	edge_score_threshold	layer	head	head_id	n_edges_nonzero	high_conf_edges	high_conf_fraction	odds_ratio_high_vs_rest	p_value_high_enriched	q_value_high_enriched	significant_q_lt_0_10
0.95	top05%	0.046717124059796264	0	6	0:6	83	5	0.060240963855421686	1.2213675213675215	0.40864144218453285	1.0	False
0.95	top05%	0.046717124059796264	0	0	0:0	51	3	0.058823529411764705	1.1842532467532467	0.48017210526280985	1.0	False
0.95	top05%	0.046717124059796264	1	7	1:7	34	2	0.058823529411764705	1.1818910256410255	0.5190537639552646	1.0	False
0.95	top05%	0.046717124059796264	1	1	1:1	23	1	0.043478260869565216	0.8544303797468354	0.6982661510686161	1.0	False
0.95	top05%	0.046717124059796264	1	4	1:4	53	2	0.03773584905660377	0.7320261437908496	0.7592466566177702	1.0	False
0.95	top05%	0.046717124059796264	0	2	0:2	102	3	0.029411764705882353	0.5541125541125541	0.9006798850410269	1.0	False
0.95	top05%	0.046717124059796264	9	5	9:5	39	1	0.02564102564102564	0.4893404397068621	0.8702910746014577	1.0	False
0.95	top05%	0.046717124059796264	10	3	10:3	42	1	0.023809523809523808	0.4526088298857672	0.8893913118653303	1.0	False
0.95	top05%	0.046717124059796264	10	7	10:7	49	1	0.02040816326530612	0.3847573839662447	0.9238219333610931	1.0	False
0.95	top05%	0.046717124059796264	1	3	1:3	14	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	1	6	1:6	23	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	2	2	2:2	20	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	2	5	2:5	15	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	3	1	3:1	15	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	3	2	3:2	15	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	4	7	4:7	13	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	5	5	5:5	15	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	7	0	7:0	25	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	7	2	7:2	13	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	9	3	9:3	34	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	9	4	9:4	22	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	10	0	10:0	22	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	10	1	10:1	11	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	10	4	10:4	34	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	11	0	11:0	22	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	11	1	11:1	32	0	0.0	0.0	1.0	1.0	False
0.95	top05%	0.046717124059796264	11	6	11:6	16	0	0.0	0.0	1.0	1.0	False
